APT_CODE,APT_NAME
N04,Oppdal�airport: Fagerhaug
HOV,HOVDEN AIRPORT
MQN,MO I RANA AIRPORT
RRS,ROROS AIRPORT
RET,STOLPORT AIRPORT
LYR,SVALBARD AIRPORT
SDN,SANDANE AIRPORT
SOG,HAUKASEN AIRPORT
SVJ,HELLE AIRPORT
SKN,SKAGEN AIRPORT
SRP,STORD AIRPORT
SOJ,SORKJOSEN AIRPORT
VAW,SVARTNES AIRPORT
SSJ,STOKKA AIRPORT
MJF,KJAERSTAD AIRPORT
NVK,FRAMNES AIRPORT
BER,BRANDENBURG AIRPORT
LGG,LIEGE AIRPORT
AFW,FORT WORTH ALLIANCE AIRPORT
RFD,CHICAGO/ROCKFORD INTERNATIONAL AIRPORT
MHR,MATHER AIRPORT
MST,MAASTRICHT/AACHEN AIRPORT
YMX,MIRABEL INTERNATIONAL AIRPORT
ZAZ,ZARAGOZA AIRPORT
VIT,VITORIA AIRPORT
YHM,HAMILTON AIRPORT
OST,OOSTENDE/BRUGGE AIRPORT
LRD,LAREDO INTERNATIONAL AIRPORT
TOL,EXPRESS AIRPORT
SCC,DEADHORSE AIRPORT
GTF,GREAT FALLS INTERNATIONAL AIRPORT
LAN,CAPITAL REGION INTERNATIONAL AIRPORT
BFM,MOBILE DOWNTOWN AIRPORT
ABY,SOUTHWEST GEORGIA REGIONAL AIRPORT
CPR,NATRONA COUNTY INTERNATIONAL AIRPORT
RNS,ST JACQUES AIRPORT
ILN,WILMINGTON AIRPARK
LNZ,BLUE DANUBE AIRPORT
PAE,SNOHOMISH COUNTY AIRPORT
BOJ,BURGAS AIRPORT
HTS,TRI-STATE AIRPORT
RST,ROCHESTER INTERNATIONAL AIRPORT
ERF,ERFURT-WEIMAR AIRPORT
TKU,TURKU AIRPORT
ORB,OREBRO-BOFORS AIRPORT
SIT,ROCKY GUTIERREZ AIRPORT
AKN,KING SALMON AIRPORT
DLG,DILLINGHAM AIRPORT
AOI,FALCONARA AIRPORT
RZE,JASIONKA AIRPORT
BMI,CENTRAL ILLINOIS REGIONAL AIRPORT
KUN,KAUNAS INTERNATIONAL AIRPORT
YIP,WILLOW RUN AIRPORT
TAR,GROTTAGLIE AIRPORT
YAK,YAKUTAT AIRPORT
CDV,MERLE K (MUDHOLE) SMITH AIRPORT
XCR,VATRY AIRPORT
TSR,TRAIAN VUIA AIRPORT
BRQ,TURANY AIRPORT
JKG,AXAMO AIRPORT
BYF,ALBERT BRAY AIRPORT
SDL,SUNDSVALL-TIMRA AIRPORT
WRG,WRANGELL AIRPORT
SCK,STOCKTON METROPOLITAN AIRPORT
SUU,TRAVIS AIR FORCE BASE
DOV,DOVER AFB
SBD,SAN BERNARDINO INTERNATIONAL AIRPORT
LEI,ALMERIA AIRPORT
BJZ,BADAJOZ AIRPORT
INI,KONSTANTIN VELIKI AIRPORT
KVO,Morava
GMZ,LA GOMERA AIRPORT
ZAD,ZADAR AIRPORT
PUY,PULA AIRPORT
LMP,LAMPEDUSA AIRPORT
PNL,PANTELLERIA AIRPORT
CRV,CROTONE AIRPORT
TRS,RONCHI DEI LEGIONARI AIRPORT
TER,LAJES AIRPORT
HOR,HORTA AIRPORT
KSO,ARISTOTELIS AIRPORT
KZI,FILIPPOS AIRPORT
PVK,AKTION AIRPORT
AXD,DIMOKRITOS AIRPORT
EFL,KEFALLINIA AIRPORT
LXS,LIMNOS AIRPORT
MJT,ODYSSEAS ELYTIS AIRPORT
JKH,OMIROS AIRPORT
SMI,ARISTARCHOS OF SAMOS AIRPORT
KGS,IPPOKRATIS AIRPORT
JKL,KALYMNOS ISLAND AIRPORT
LRS,LEROS AIRPORT
RJK,RIJEKA AIRPORT
OSI,OSIJEK AIRPORT
RVK,RYUMSJOEN AIRPORT
GRX,FEDERICO GARCIA LORCA AIRPORT
RDZ,MARCILLAC AIRPORT
BVE,VALLEE DE LA DORDOGNE AIRPORT
PXO,PORTO SANTO AIRPORT
VDE,EL HIERRO AIRPORT
BWK,BOL AIRPORT
CFN,DONEGAL AIRPORT
SMA,VILA DO PORTO AIRPORT
GRW,GRACIOSA ISLAND AIRPORT
SJZ,SAO JORGE ISLAND AIRPORT
PIX,PICO AIRPORT
FLW,FLORES AIRPORT
CVU,CORVO ISLAND (AZORES) AIRPORT
JTY,ASTYPALAIA ISLAND AIRPORT
ZTH,DIONSIOS SALOMOS AIRPORT
JIK,IKARIA ISLAND AIRPORT
AOK,KARPATHOS AIRPORT
KIT,ALEXANDROS A. ONASSIS AIRPORT
MLO,MILOS AIRPORT
JNX,NAXOS AIRPORT
PAS,PAROS AIRPORT
JSI,ALEX. PAPADIAMANTIS AIRPORT
JSY,DIMITRIOS VIKELAS AIRPORT
JSH,SITEIA AIRPORT
SKU,SKYROS AIRPORT
