IATA_CODE,ICAO_CODE,APT_NAME,APT_CAT,FAA_ROLE,STATE,CITY_SERVED
ETS,KEDN,Enterprise Municipal Airport,General aviation airports,GA,Alabama,Enterprise
EUF,KEUF,Weedon Field,General aviation airports,GA,Alabama,Eufaula
,KGZH,Middleton Field,General aviation airports,GA,Alabama,Evergreen
,KCQF,H. L. Sonny Callahan Airport,General aviation airports,GA,Alabama,Fairhope
,,Richard Arthur Field,General aviation airports,GA,Alabama,Fayette
,,Florala Municipal Airport,General aviation airports,GA,Alabama,Florala
,,Foley Municipal Airport,General aviation airports,GA,Alabama,Foley
,,Isbell Field,General aviation airports,GA,Alabama,Fort Payne
GAD,KGAD,Northeast Alabama Regional Airport (was Gadsden Municipal),General aviation airports,GA,Alabama,Gadsden
,,Geneva Municipal Airport,General aviation airports,GA,Alabama,Geneva
,,Greensboro Municipal Airport,General aviation airports,GA,Alabama,Greensboro
,KPRN,Mac Crenshaw Memorial Airport,General aviation airports,GA,Alabama,Greenville
GUF,KJKA,Jack Edwards Airport,General aviation airports,GA,Alabama,Gulf Shores
,,Guntersville Municipal Airport (Joe Starnes Field),General aviation airports,GA,Alabama,Guntersville
,,Posey Field,General aviation airports,GA,Alabama,Haleyville
HAB,KHAB,Marion County – Rankin Fite Airport,General aviation airports,GA,Alabama,Hamilton
,,Hartselle–Morgan County Regional Airport (was Rountree Field),General aviation airports,GA,Alabama,Hartselle
,,Headland Municipal Airport,General aviation airports,GA,Alabama,Headland
,KMDQ,Madison County Executive Airport (Tom Sharp Jr. Field),General aviation airports,GA,Alabama,Huntsville
,,Jackson Municipal Airport,General aviation airports,GA,Alabama,Jackson
,KJFX,Walker County Airport (Bevill Field),General aviation airports,GA,Alabama,Jasper
,,Lanett Municipal Airport,General aviation airports,GA,Alabama,Lanett
,,Vaiden Field,General aviation airports,GA,Alabama,Marion
BFM,KBFM,Mobile International Airport (was Brookley Aeroplex),General aviation airports,GA,Alabama,Mobile
MVC,KMVC,Monroe County Airport,General aviation airports,GA,Alabama,Monroeville
,,Robbins Field,General aviation airports,GA,Alabama,Oneonta
,,Blackwell Field,General aviation airports,GA,Alabama,Ozark
,,Prattville-Grouby Field (Prattville Airport),General aviation airports,GA,Alabama,Prattville
,,North Pickens Airport,General aviation airports,GA,Alabama,Reform
,,Roanoke Municipal Airport,General aviation airports,GA,Alabama,Roanoke
,,Bill Pugh Field (was Russellville Municipal Airport),General aviation airports,GA,Alabama,Russellville
,,Scottsboro Municipal Airport (Word Field),General aviation airports,GA,Alabama,Scottsboro
SEM,KSEM,Craig Field,General aviation airports,GA,Alabama,Selma
,,St. Elmo Airport,General aviation airports,GA,Alabama,St. Elmo
,KSCD,Sylacauga Municipal Airport (Merkel Field),General aviation airports,GA,Alabama,Sylacauga
ASN,KASN,Talladega Municipal Airport,General aviation airports,GA,Alabama,Talladega
TOI,KTOI,Troy Municipal Airport (N. Kenneth Campbell Field),General aviation airports,GA,Alabama,Troy
TCL,KTCL,Tuscaloosa National Airport,General aviation airports,GA,Alabama,Tuscaloosa
,,Moton Field Municipal Airport,General aviation airports,GA,Alabama,Tuskegee
,,Franklin Field,General aviation airports,GA,Alabama,Union Springs
,,Wetumpka Municipal Airport,General aviation airports,GA,Alabama,Wetumpka
,,Addison Municipal Airport,Other public-use airports (not listed in NPIAS),,Alabama,Addison
,,Ardmore Airport,Other public-use airports (not listed in NPIAS),,Alabama,Ardmore
,,Roy E. Ray Airport,Other public-use airports (not listed in NPIAS),,Alabama,Bayou La Batre
,,Roy Wilcox Airport,Other public-use airports (not listed in NPIAS),,Alabama,Chatom
,,Mark Reynolds/North Mobile County Airport,Other public-use airports (not listed in NPIAS),,Alabama,Creola
,,Double Springs–Winston County Airport,Other public-use airports (not listed in NPIAS),,Alabama,Double Springs
,,Eutaw Municipal Airport (closed indefinitely),Other public-use airports (not listed in NPIAS),,Alabama,Eutaw
,,Fish River Seaplane Base,Other public-use airports (not listed in NPIAS),,Alabama,Fairhope
,,Fort Deposit–Lowndes County Airport,Other public-use airports (not listed in NPIAS),,Alabama,Fort Deposit
,,Grove Hill Municipal Airport,Other public-use airports (not listed in NPIAS),,Alabama,Grove Hill
,,Hazel Green Airport,Other public-use airports (not listed in NPIAS),,Alabama,Hazel Green
,,Moontown Airport,Other public-use airports (not listed in NPIAS),,Alabama,Huntsville
,,Frank Sikes Airport,Other public-use airports (not listed in NPIAS),,Alabama,Luverne
,,Pine Hill Municipal Airport,Other public-use airports (not listed in NPIAS),,Alabama,Pine Hill
,,Logan Field (Samson Municipal Airport),Other public-use airports (not listed in NPIAS),,Alabama,Samson
,,Stevenson Airport,Other public-use airports (not listed in NPIAS),,Alabama,Stevenson
,,Hubbard Landing Seaplane Base,Other public-use airports (not listed in NPIAS),,Alabama,Stockton
,,Reeves Airport,Other public-use airports (not listed in NPIAS),,Alabama,Tallassee
,,Lamar County Airport,Other public-use airports (not listed in NPIAS),,Alabama,Vernon
,,McMinn Airport,Other public-use airports (not listed in NPIAS),,Alabama,Weaver
NHX,KNBJ,NOLF Barin [1],Other government/military airports,,Alabama,Foley
,KNHL,NOLF Wolf [2] [3][usurped] (closed),Other government/military airports,,Alabama,Foley
HUA,KHUA,Redstone Army Airfield (Redstone Arsenal),Other government/military airports,,Alabama,Huntsville
MXF,KMXF,Maxwell Air Force Base,Other government/military airports,,Alabama,Montgomery
OZR,KOZR,Cairns Army Airfield (Fort Novosel),Other government/military airports,,Alabama,Ozark
HEY,KHEY,Hanchey Army Heliport (Fort Novosel),Other government/military airports,,Alabama,Ozark
LOR,KLOR,Lowe Army Heliport (Fort Novosel),Other government/military airports,,Alabama,Ozark
,KNQB,NOLF Silverhill [4] [5][usurped] (closed),Other government/military airports,,Alabama,Robertsdale
,KNFD,NOLF Summerdale,Other government/military airports,,Alabama,Summerdale
,,Parker Field,Notable private-use airports,,Alabama,Gardendale
,,Sehoy Airport,Notable private-use airports,,Alabama,Hurtsboro
,,Little Texas Airport,Notable private-use airports,,Alabama,Tuskegee
TGE,,Sharpe Field (Tuskegee Army Airfield),Notable private-use airports,,Alabama,Tuskegee
,,Brundidge Municipal Airport (closed) [6],Notable former airports,,Alabama,Brundidge
,,Centre Municipal Airport (closed),Notable former airports,,Alabama,Centre
,,Coosa County Airport (closed 1997-2002) [7],Notable former airports,,Alabama,Goodwater
,,Freddie Jones Field (closed),Notable former airports,,Alabama,Linden
,,Skywest Airpark (closed) [8],Notable former airports,,Alabama,Mobile
,,Moundville Airport (closed) [9],Notable former airports,,Alabama,Moundville
,,Skyharbor Airport (closed) [10],Notable former airports,,Alabama,Selma
,,Mallard Airport (closed 2001?) [11],Notable former airports,,Alabama,York
MRI,PAMR,Merrill Field,Commercial service – primary airports,P-N,Alaska,Anchorage
ANC,PANC,Ted Stevens Anchorage International Airport,Commercial service – primary airports,P-M,Alaska,Anchorage
BET,PABE,Bethel Airport (also see Bethel Seaplane Base),Commercial service – primary airports,P-N,Alaska,Bethel
CDV,PACV,Merle K. (Mudhole) Smith Airport,Commercial service – primary airports,P-N,Alaska,Cordova
SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),Commercial service – primary airports,P-N,Alaska,Deadhorse
DLG,PADL,Dillingham Airport,Commercial service – primary airports,P-N,Alaska,Dillingham
FAI,PAFA,Fairbanks International Airport,Commercial service – primary airports,P-S,Alaska,Fairbanks
GST,PAGS,Gustavus Airport,Commercial service – primary airports,P-N,Alaska,Gustavus
HOM,PAHO,Homer Airport,Commercial service – primary airports,P-N,Alaska,Homer
JNU,PAJN,Juneau International Airport,Commercial service – primary airports,P-N,Alaska,Juneau
ENA,PAEN,Kenai Municipal Airport,Commercial service – primary airports,P-N,Alaska,Kenai
KTN,PAKT,Ketchikan International Airport,Commercial service – primary airports,P-N,Alaska,Ketchikan
AKN,PAKN,King Salmon Airport,Commercial service – primary airports,P-N,Alaska,King Salmon
KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),Commercial service – primary airports,P-N,Alaska,Klawock
ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),Commercial service – primary airports,P-N,Alaska,Kodiak
OTZ,PAOT,Ralph Wien Memorial Airport,Commercial service – primary airports,P-N,Alaska,Kotzebue
OME,PAOM,Nome Airport,Commercial service – primary airports,P-N,Alaska,Nome
PSG,PAPG,Petersburg James A. Johnson Airport,Commercial service – primary airports,P-N,Alaska,Petersburg
SIT,PASI,Sitka Rocky Gutierrez Airport,Commercial service – primary airports,P-N,Alaska,Sitka
DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Commercial service – primary airports,P-N,Alaska,Unalaska
BRW,PABR,Wiley Post–Will Rogers Memorial Airport,Commercial service – primary airports,P-N,Alaska,Utqiaġvik (Barrow)
WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),Commercial service – primary airports,P-N,Alaska,Wrangell
YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),Commercial service – primary airports,P-N,Alaska,Yakutat
ANI,PANI,Aniak Airport,Commercial service – nonprimary airports,CS,Alaska,Aniak
BKC,PABL,Buckland Airport,Commercial service – nonprimary airports,CS,Alaska,Buckland
VAK,PAVA,Chevak Airport,Commercial service – nonprimary airports,CS,Alaska,Chevak
CDB,PACD,Cold Bay Airport,Commercial service – nonprimary airports,CS,Alaska,Cold Bay
CXF,PACX,Coldfoot Airport,Commercial service – nonprimary airports,CS,Alaska,Coldfoot
EMK,PAEM,Emmonak Airport,Commercial service – nonprimary airports,CS,Alaska,Emmonak
FYU,PFYU,Fort Yukon Airport,Commercial service – nonprimary airports,CS,Alaska,Fort Yukon
GAL,PAGA,Edward G. Pitka Sr. Airport,Commercial service – nonprimary airports,CS,Alaska,Galena
HNS,PAHN,Haines Airport (also see Haines Seaplane Base),Commercial service – nonprimary airports,CS,Alaska,Haines
HNH,PAOH,Hoonah Airport (also see Hoonah Seaplane Base),Commercial service – nonprimary airports,CS,Alaska,Hoonah
HPB,PAHP,Hooper Bay Airport,Commercial service – nonprimary airports,CS,Alaska,Hooper Bay
ILI,PAIL,Iliamna Airport,Commercial service – nonprimary airports,CS,Alaska,Iliamna
,PAFE,Kake Airport (also see Kake Seaplane Base),Commercial service – nonprimary airports,CS,Alaska,Kake
KPN,PAKI,Kipnuk Airport,Commercial service – nonprimary airports,CS,Alaska,Kipnuk
WTK,PAWN,Noatak Airport,Commercial service – nonprimary airports,CS,Alaska,Noatak
PHO,PAPO,Point Hope Airport,Commercial service – nonprimary airports,CS,Alaska,Point Hope
KWN,PAQH,Quinhagak Airport,Commercial service – nonprimary airports,CS,Alaska,Quinhagak
WLK,PASK,Selawik Airport,Commercial service – nonprimary airports,CS,Alaska,Selawik
SOV,PASO,Seldovia Airport (also see Seldovia Seaplane Base),Commercial service – nonprimary airports,CS,Alaska,Seldovia
SHH,PASH,Shishmaref Airport,Commercial service – nonprimary airports,CS,Alaska,Shishmaref
SGY,PAGY,Skagway Airport (also see Skagway Seaplane Base),Commercial service – nonprimary airports,CS,Alaska,Skagway
KSM,PASM,St. Mary's Airport,Commercial service – nonprimary airports,CS,Alaska,St. Mary's
UNK,PAUN,Unalakleet Airport,Commercial service – nonprimary airports,CS,Alaska,Unalakleet
VDZ,PAVD,Valdez Airport (Pioneer Field),Commercial service – nonprimary airports,CS,Alaska,Valdez
ADK,PADK,Adak Airport (Adak Station / Mitchell Field),General aviation airports,GA,Alaska,Adak
AKK,PAKH,Akhiok Airport,General aviation airports,GA,Alaska,Akhiok
KKI,,Akiachak Airport (also see Akiachak Seaplane Base),General aviation airports,GA,Alaska,Akiachak
AKI,PFAK,Akiak Airport,General aviation airports,GA,Alaska,Akiak
,PAUT,Akutan Airport (Akun Airport),General aviation airports,GA,Alaska,Akutan
,,Akutan Seaplane Base,General aviation airports,GA,Alaska,Akutan
AUK,PAUK,Alakanuk Airport,General aviation airports,GA,Alaska,Alakanuk
WKK,,Aleknagik Airport (also see Aleknagik Seaplane Base),General aviation airports,GA,Alaska,Aleknagik
AET,PFAL,Allakaket Airport,General aviation airports,GA,Alaska,Allakaket
ABL,PAFM,Ambler Airport,General aviation airports,GA,Alaska,Ambler
AKP,PAKP,Anaktuvuk Pass Airport,General aviation airports,GA,Alaska,Anaktuvuk Pass
,PALH,Lake Hood Seaplane Base (also Lake Hood Airstrip),General aviation airports,GA,Alaska,Anchorage
AGN,PAGN,Angoon Seaplane Base,General aviation airports,GA,Alaska,Angoon
ANV,PANV,Anvik Airport (also see Anvik Seaplane Base),General aviation airports,GA,Alaska,Anvik
ARC,PARC,Arctic Village Airport,General aviation airports,GA,Alaska,Arctic Village
AKB,PAAK,Atka Airport,General aviation airports,GA,Alaska,Atka
ATT,,Atmautluak Airport,General aviation airports,GA,Alaska,Atmautluak
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport,General aviation airports,GA,Alaska,Atqasuk
BNF,,Warm Springs Bay Seaplane Base,General aviation airports,GA,Alaska,Baranof / Warm Springs Bay
WBQ,PAWB,Beaver Airport,General aviation airports,GA,Alaska,Beaver
BTT,PABT,Bettles Airport,General aviation airports,GA,Alaska,Bettles
BGQ,PAGQ,Big Lake Airport,General aviation airports,GA,Alaska,Big Lake
KBC,,Birch Creek Airport,General aviation airports,GA,Alaska,Birch Creek
,PABV,Birchwood Airport,General aviation airports,GA,Alaska,Birchwood
BYA,,Boundary Airport,General aviation airports,GA,Alaska,Boundary
KTS,PFKT,Brevig Mission Airport,General aviation airports,GA,Alaska,Brevig Mission
CEM,PACE,Central Airport,General aviation airports,GA,Alaska,Central
CIK,PACI,Chalkyitsik Airport,General aviation airports,GA,Alaska,Chalkyitsik
,,Chandalar Shelf Airport,General aviation airports,GA,Alaska,Chandalar Camp
WCR,PALR,Chandalar Lake Airport,General aviation airports,GA,Alaska,Chandalar Lake
CYF,PACK,Chefornak Airport,General aviation airports,GA,Alaska,Chefornak
NCN,PFCB,Chenega Bay Airport,General aviation airports,GA,Alaska,Chenega
CKX,,Chicken Airport,General aviation airports,GA,Alaska,Chicken
,PAJC,Chignik Airport,General aviation airports,GA,Alaska,Chignik
KCL,,Chignik Lagoon Airport,General aviation airports,GA,Alaska,Chignik Flats
KCQ,,Chignik Lake Airport,General aviation airports,GA,Alaska,Chignik Lake
CZN,,Chisana Airport,General aviation airports,GA,Alaska,Chisana
CXC,,Chitina Airport,General aviation airports,GA,Alaska,Chitina
CHU,PACH,Chuathbaluk Airport,General aviation airports,GA,Alaska,Chuathbaluk
IRC,PACR,Circle City Airport,General aviation airports,GA,Alaska,Circle
CHP,,Circle Hot Springs Airport,General aviation airports,GA,Alaska,Circle Hot Springs
CLP,PFCL,Clarks Point Airport,General aviation airports,GA,Alaska,Clarks Point
,PACL,Clear Airport / Clear Space Force Station,General aviation airports,GA,Alaska,Clear
KCC,,Coffman Cove Seaplane Base,General aviation airports,GA,Alaska,Coffman Cove
CKU,,Cordova Municipal Airport,General aviation airports,GA,Alaska,Cordova
CIL,,Council Airport,General aviation airports,GA,Alaska,Council
CGA,,Craig Seaplane Base,General aviation airports,GA,Alaska,Craig
CKD,PACJ,Crooked Creek Airport,General aviation airports,GA,Alaska,Crooked Creek
DCK,,Dahl Creek Airport,General aviation airports,GA,Alaska,Dahl Creek
DRG,PADE,Deering Airport,General aviation airports,GA,Alaska,Deering
DIO,PPDM,Diomede Heliport (ice runway in winter only),General aviation airports,GA,Alaska,Diomede
EAA,PAEG,Eagle Airport,General aviation airports,GA,Alaska,Eagle
EEK,PAEE,Eek Airport,General aviation airports,GA,Alaska,Eek
EGX,PAII,Egegik Airport,General aviation airports,GA,Alaska,Egegik
KEK,,Ekwok Airport,General aviation airports,GA,Alaska,Ekwok
ELV,PAEL,Elfin Cove Seaplane Base,General aviation airports,GA,Alaska,Elfin Cove
ELI,PFEL,Elim Airport,General aviation airports,GA,Alaska,Elim
EXI,,Excursion Inlet Seaplane Base,General aviation airports,GA,Alaska,Excursion Inlet
KFP,PAKF,False Pass Airport,General aviation airports,GA,Alaska,False Pass
FLT,,Flat Airport,General aviation airports,GA,Alaska,Flat
FNR,PANR,Funter Bay Seaplane Base,General aviation airports,GA,Alaska,Funter Bay
GBH,PAGB,Galbraith Lake Airport,General aviation airports,GA,Alaska,Galbraith Lake
GAM,PAGM,Gambell Airport,General aviation airports,GA,Alaska,Gambell
AQY,,Girdwood Airport,General aviation airports,GA,Alaska,Girdwood
GLV,PAGL,Golovin Airport,General aviation airports,GA,Alaska,Golovin
GNU,,Goodnews Airport,General aviation airports,GA,Alaska,Goodnews Bay
,,Goose Bay Airport,General aviation airports,GA,Alaska,Goose Bay
KGX,PAGX,Grayling Airport,General aviation airports,GA,Alaska,Grayling
GKN,PAGK,Gulkana Airport,General aviation airports,GA,Alaska,Gulkana
,PAHV,Healy River Airport,General aviation airports,GA,Alaska,Healy
HYL,,Hollis Clark Bay Seaplane Base,General aviation airports,GA,Alaska,Hollis
HCR,PAHC,Holy Cross Airport,General aviation airports,GA,Alaska,Holy Cross
,,Hoonah Seaplane Base,General aviation airports,GA,Alaska,Hoonah
,,Hope Airport,General aviation airports,GA,Alaska,Hope
HUS,PAHU,Hughes Airport,General aviation airports,GA,Alaska,Hughes
HSL,PAHL,Huslia Airport,General aviation airports,GA,Alaska,Huslia
HYG,PAHY,Hydaburg Seaplane Base,General aviation airports,GA,Alaska,Hydaburg
WHD,,Hyder Seaplane Base,General aviation airports,GA,Alaska,Hyder
IGG,PAIG,Igiugig Airport,General aviation airports,GA,Alaska,Igiugig
KAE,,Kake Seaplane Base,General aviation airports,GA,Alaska,Kake
BTI,PABA,Barter Island LRRS Airport (Kaktovik Airport),General aviation airports,GA,Alaska,Kaktovik / Barter Island
KLG,PALG,Kalskag Airport,General aviation airports,GA,Alaska,Kalskag
KAL,PAKV,Kaltag Airport,General aviation airports,GA,Alaska,Kaltag
,,Kantishna Airport,General aviation airports,GA,Alaska,Kantishna
KYK,PAKY,Karluk Airport,General aviation airports,GA,Alaska,Karluk
KXA,,Kasaan Seaplane Base,General aviation airports,GA,Alaska,Kasaan
KUK,PFKA,Kasigluk Airport,General aviation airports,GA,Alaska,Kasigluk
,,Murphys Pullout Seaplane Base,General aviation airports,GA,Alaska,Ketchikan
IAN,PAIK,Bob Baker Memorial Airport,General aviation airports,GA,Alaska,Kiana
KVC,PAVC,King Cove Airport,General aviation airports,GA,Alaska,King Cove
KKB,,Kitoi Bay Seaplane Base,General aviation airports,GA,Alaska,Kitoi Bay
KVL,PAVL,Kivalina Airport,General aviation airports,GA,Alaska,Kivalina
OBU,PAOB,Kobuk Airport,General aviation airports,GA,Alaska,Kobuk
KDK,PAKD,Kodiak Municipal Airport,General aviation airports,GA,Alaska,Kodiak
,,Trident Basin Seaplane Base,General aviation airports,GA,Alaska,Kodiak
KNK,PFKK,Kokhanok Airport,General aviation airports,GA,Alaska,Kokhanok
KGK,PAJZ,Koliganek Airport,General aviation airports,GA,Alaska,Koliganek
KKH,PADY,Kongiganak Airport,General aviation airports,GA,Alaska,Kongiganak
KOT,PFKO,Kotlik Airport,General aviation airports,GA,Alaska,Kotlik
KKA,PAKK,Koyuk Alfred Adams Airport,General aviation airports,GA,Alaska,Koyuk
KYU,PFKU,Koyukuk Airport,General aviation airports,GA,Alaska,Koyukuk
KWT,PFKW,Kwethluk Airport,General aviation airports,GA,Alaska,Kwethluk
KWK,PAGG,Kwigillingok Airport (also see Kwigillingok Seaplane Base),General aviation airports,GA,Alaska,Kwigillingok
,,Lake Louise Airport (also see Lake Louise Seaplane Base),General aviation airports,GA,Alaska,Lake Louise
KLN,PALB,Larsen Bay Airport,General aviation airports,GA,Alaska,Larsen Bay
KLL,,Levelock Airport,General aviation airports,GA,Alaska,Levelock
LVD,,Lime Village Airport,General aviation airports,GA,Alaska,Lime Village
MLY,PAML,Manley Hot Springs Airport,General aviation airports,GA,Alaska,Manley Hot Springs
KMO,PAMB,Manokotak Airport,General aviation airports,GA,Alaska,Manokotak
MLL,PADM,Marshall Don Hunter Sr. Airport,General aviation airports,GA,Alaska,Marshall
MYK,,May Creek Airport,General aviation airports,GA,Alaska,May Creek
MXY,PAMX,McCarthy Airport,General aviation airports,GA,Alaska,McCarthy
MCG,PAMC,McGrath Airport (also see McGrath Seaplane Base),General aviation airports,GA,Alaska,McGrath
MYU,PAMY,Mekoryuk Airport,General aviation airports,GA,Alaska,Mekoryuk
MTM,PAMM,Metlakatla Seaplane Base,General aviation airports,GA,Alaska,Metlakatla
MNT,,Minto Al Wright Airport (was Minto Airport),General aviation airports,GA,Alaska,Minto
MOU,PAMO,Mountain Village Airport,General aviation airports,GA,Alaska,Mountain Village
NNK,,Naknek Airport,General aviation airports,GA,Alaska,Naknek
KEB,,Nanwalek Airport (was English Bay Airport),General aviation airports,GA,Alaska,Nanwalek (English Bay)
WNA,PANA,Napakiak Airport,General aviation airports,GA,Alaska,Napakiak
PKA,PAPK,Napaskiak Airport,General aviation airports,GA,Alaska,Napaskiak
NLG,PAOU,Nelson Lagoon Airport,General aviation airports,GA,Alaska,Nelson Lagoon
ENN,PANN,Nenana Municipal Airport,General aviation airports,GA,Alaska,Nenana
KNW,PANW,New Stuyahok Airport,General aviation airports,GA,Alaska,New Stuyahok
WWT,PAEW,Newtok Airport (also see Newtok Seaplane Base),General aviation airports,GA,Alaska,Newtok
NME,PAGT,Nightmute Airport,General aviation airports,GA,Alaska,Nightmute
NIB,PAFS,Nikolai Airport,General aviation airports,GA,Alaska,Nikolai
NNL,PANO,Nondalton Airport,General aviation airports,GA,Alaska,Nondalton
ORV,PFNO,Robert (Bob) Curtis Memorial Airport,General aviation airports,GA,Alaska,Noorvik
ORT,PAOR,Northway Airport,General aviation airports,GA,Alaska,Northway
NUI,PAQT,Nuiqsut Airport,General aviation airports,GA,Alaska,Nuiqsut
NUL,PANU,Nulato Airport,General aviation airports,GA,Alaska,Nulato
SXP,,Sheldon Point Airport,General aviation airports,GA,Alaska,Nunam Iqua (Sheldon Pt.)
NUP,PPIT,Nunapitchuk Airport,General aviation airports,GA,Alaska,Nunapitchuk
OLH,,Old Harbor Airport,General aviation airports,GA,Alaska,Old Harbor
,,Ophir Airport,General aviation airports,GA,Alaska,Ophir
KOZ,,Ouzinkie Airport,General aviation airports,GA,Alaska,Ouzinkie
PAQ,PAAQ,Palmer Municipal Airport,General aviation airports,GA,Alaska,Palmer
PDB,,Pedro Bay Airport,General aviation airports,GA,Alaska,Pedro Bay
PEC,,Pelican Seaplane Base,General aviation airports,GA,Alaska,Pelican
KPV,PAPE,Perryville Airport,General aviation airports,GA,Alaska,Perryville
,,Lloyd R. Roundtree Seaplane Facility,General aviation airports,GA,Alaska,Petersburg
PIP,PAPN,Pilot Point Airport,General aviation airports,GA,Alaska,Pilot Point
PQS,,Pilot Station Airport,General aviation airports,GA,Alaska,Pilot Station
PTU,PAPM,Platinum Airport,General aviation airports,GA,Alaska,Platinum
KPB,,Point Baker Seaplane Base,General aviation airports,GA,Alaska,Point Baker
PIZ,PPIZ,Point Lay LRRS Airport,General aviation airports,GA,Alaska,Point Lay
PTD,PAAP,Port Alexander Seaplane Base,General aviation airports,GA,Alaska,Port Alexander
PGM,,Port Graham Airport,General aviation airports,GA,Alaska,Port Graham
PTH,PAPH,Port Heiden Airport,General aviation airports,GA,Alaska,Port Heiden
ORI,,Port Lions Airport,General aviation airports,GA,Alaska,Port Lions
PPV,,Port Protection Seaplane Base,General aviation airports,GA,Alaska,Port Protection
PCA,PAOC,Portage Creek Airport,General aviation airports,GA,Alaska,Portage Creek
RMP,PFMP,Rampart Airport,General aviation airports,GA,Alaska,Rampart
RDV,,Red Devil Airport,General aviation airports,GA,Alaska,Red Devil
RBY,PARY,Ruby Airport,General aviation airports,GA,Alaska,Ruby
RSH,PARS,Russian Mission Airport,General aviation airports,GA,Alaska,Russian Mission
SDP,PASD,Sand Point Airport,General aviation airports,GA,Alaska,Sand Point
SVA,PASA,Savoonga Airport,General aviation airports,GA,Alaska,Savoonga
SCM,PACM,Scammon Bay Airport,General aviation airports,GA,Alaska,Scammon Bay
SWD,PAWD,Seward Airport,General aviation airports,GA,Alaska,Seward
SHX,PAHX,Shageluk Airport,General aviation airports,GA,Alaska,Shageluk
SKK,PFSH,Shaktoolik Airport,General aviation airports,GA,Alaska,Shaktoolik
SHG,PAGH,Shungnak Airport,General aviation airports,GA,Alaska,Shungnak
,,Sitka Seaplane Base,General aviation airports,GA,Alaska,Sitka
SKW,PASW,Skwentna Airport,General aviation airports,GA,Alaska,Skwentna
SLQ,PASL,Sleetmute Airport,General aviation airports,GA,Alaska,Sleetmute
SXQ,PASX,Soldotna Airport,General aviation airports,GA,Alaska,Soldotna
WSN,PFWS,South Naknek Nr 2 Airport,General aviation airports,GA,Alaska,South Naknek
STG,PAPB,St. George Airport,General aviation airports,GA,Alaska,St. George
SMK,PAMK,St. Michael Airport,General aviation airports,GA,Alaska,St. Michael
